location,date,total_cases_per_million,total_deaths_per_million,reproduction_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests,total_vaccinations,people_vaccinated_per_million,people_vaccinated,total_boosters,stringency_index,vaccination_rates,vaccination_result,population,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,human_development_index,excess_mortality_cumulative_per_million
Malta,8/1/21,66605.309,819.609,0.00000072,9.688,62.003,1.094044,0.760417,0.399724,399724,,47.22,77.45088161,very high,516100,19.426,36513.323,0.0000002,0.000168711,0.00000883,0.0000209,0.0000302,,0.000004485,0.895,535.555125
Marshall Islands,8/1/21,67.094,,,,,,,,,,,,,59618,,3819.202,,0.000557793,0.00003053,,,82.502,0.0000027,0.704,
Mauritania,8/1/21,5439.246,118.741,0.00000129,,,,,,,,36.11,,,4775110,3.138,3597.633,0.000006,0.000232347,0.00000242,,,15.95,,0.546,
Mauritius,8/1/21,3309.178,15.706,0.00000137,,,,,,,,51.85,,,1273428,10.945,20292.745,0.0000005,0.000224644,0.00002202,0.0000032,0.0000407,,0.0000034,0.804,
Mexico,8/1/21,21917.268,1850.375,0.00000118,,,8.282155,67.355342,47.463637,47463637,,67.13,36.43699378,low,130262220,6.857,17336.469,0.0000025,0.000152783,0.00001306,0.0000069,0.0000214,87.847,0.00000138,0.779,3807.476182
Micronesia (country),8/1/21,8.602,,,,,,,,,,,,,116255,4.81,3299.464,0.000016,0.000454343,0.00001202,,,,,0.62,
Moldova,8/1/21,64499.848,1554.414,0.00000125,,,,1.044529,0.549478,549478,,54.63,13.65493505,very low,4024025,10.864,5189.972,0.0000002,0.000408502,0.00000572,0.0000059,0.0000446,86.979,0.0000058,0.75,
Monaco,8/1/21,73152.834,835.02,0.00000114,,,,,,,,37.04,,,39520,,,,,0.00000546,,,,0.0000138,,
Mongolia,8/1/21,49923.677,244.798,0.00000094,,,,4.161918,2.178913,2178913,,61.11,65.4469342,high,3329282,4.031,11840.846,0.0000005,0.000460043,0.00000482,0.0000055,0.0000465,71.18,0.000007,0.737,
Montenegro,8/1/21,162553.678,2595.331,0.00000159,,,,0.332022,0.177757,177757,,,28.30295629,low,628051,14.762,16409.288,0.000001,0.000387305,0.00001008,0.000044,0.0000479,,0.000003861,0.829,3024.595136
Montserrat,8/1/21,4216.021,200.763,,,,,,,,,,,,4981,,,,,,,,,,,
Morocco,8/1/21,16862.246,263.303,0.00000151,,,7.014693,23.802188,13.672764,13672764,,59.26,36.61224256,low,37344787,6.769,7485.013,0.000001,0.000419146,0.00000714,0.0000008,0.0000471,,0.0000011,0.686,
Mozambique,8/1/21,3841.085,45.456,0.00000099,,,0.743059,,,,,53.7,,,32163045,3.158,1136.103,0.0000629,0.000329942,0.0000033,0.0000051,0.0000291,12.227,0.0000007,0.456,
